Word	Frequency	Type
exchange	25	(noun, verb)
eye	25	(noun, verb)
fire	25	(noun, verb)
position	25	(noun, verb)
pressure	25	(noun, verb)
stress	25	(noun, verb)
advantage	24	(noun, verb)
benefit	24	(noun, verb)
box	24	(noun, verb)
frame	24	(noun, verb)
issue	24	(noun, verb)
step	24	(noun, verb)
cycle	23	(noun, verb)
face	23	(noun, verb)
item	23	(noun, adverb)
metal	23	(noun, verb)
paint	23	(noun, verb)
review	23	(noun, verb)
room	23	(noun, verb)
screen	23	(noun, verb)
structure	23	(noun, verb)
view	23	(noun, verb)
account	22	(noun, verb)
ball	22	(noun, verb)
discipline	22	(noun, verb)
medium	22	(noun, adjective)
share	22	(noun, verb)
balance	21	(noun, verb)
bit	21	(noun, verb)
black	21	(noun, verb, adjective)
bottom	21	(noun, verb, adjective)
choice	21	(noun, adjective)
gift	21	(noun, verb)
impact	21	(noun, verb)
machine	21	(noun, verb)
shape	21	(noun, verb)
tool	21	(noun, verb)
wind	21	(noun, verb)
address	20	(noun, verb)
average	20	(noun, verb, adjective)
career	20	(noun, verb, adjective)
culture	20	(noun, verb)
morning	20	(noun, adverb)
pot	20	(noun, verb)
sign	20	(noun, verb)
table	20	(noun, verb)
task	20	(noun, verb)
condition	19	(noun, verb)
contact	19	(noun, verb)
credit	19	(noun, verb)
egg	19	(noun, verb)
hope	19	(noun, verb)
ice	19	(noun, verb)
network	19	(noun, verb)
north	19	(noun, adjective, adverb)
square	19	(noun, adjective, adverb)
attempt	18	(noun, verb)
date	18	(noun, verb)
effect	18	(noun, verb)
link	18	(noun, verb)
post	18	(noun, verb, adverb)
star	18	(noun, verb)
voice	18	(noun, verb)
capital	17	(noun, adjective)
challenge	17	(noun, verb, adjective)
friend	17	(noun, verb)
self	17	(noun, pronoun, adjective)
shot	17	(noun, adjective)
brush	16	(noun, verb)
couple	16	(noun, verb)
debate	16	(noun, verb)
exit	16	(noun, verb)
front	16	(noun, adjective, verb)
function	16	(noun, verb)
lack	16	(noun, verb)
living	16	(noun, adjective)
plant	16	(noun, verb)
plastic	16	(noun, adjective)
spot	16	(noun, verb)
summer	16	(noun, verb)
taste	16	(noun, verb)
theme	16	(noun, verb)
track	16	(noun, verb)
wing	16	(noun, verb)
brain	15	(noun, verb)
button	15	(noun, verb)
click	15	(noun, verb)
desire	15	(noun, verb)
foot	15	(noun, verb)
gas	15	(noun, verb)
influence	15	(noun, verb)
notice	15	(noun, verb)
rain	15	(noun, verb)
wall	15	(noun, verb)
base	14	(noun, verb, adjective)
damage	14	(noun, verb)
distance	14	(noun, verb)
feeling	14	(noun, adjective)
pair	14	(noun, verb)
savings	14	(noun, adjective, preposition)
staff	14	(noun, verb)
sugar	14	(noun, verb)
target	14	(noun, verb)
text	14	(noun, verb)
animal	13	(noun, adjective)
author	13	(noun, verb)
budget	13	(noun, adjective, verb)
discount	13	(noun, verb, adjective)
file	13	(noun, verb)
ground	13	(noun, verb, adjective)
lesson	13	(noun, verb)
minute	13	(noun, adjective, verb)
officer	13	(noun, verb)
phase	13	(noun, verb)
reference	13	(noun, verb, adjective)
register	13	(noun, verb)
sky	13	(noun, verb)
stage	13	(noun, verb)
stick	13	(noun, verb)
title	13	(noun, verb)
trouble	13	(noun, verb)
bowl	12	(noun, verb)
bridge	12	(noun, verb)
campaign	12	(noun, verb)
character	12	(noun, adjective, verb)
club	12	(noun, verb)
edge	12	(noun, verb, idiom)
evidence	12	(noun, verb, idiom)
fan	12	(noun, verb, idiom)
letter	12	(noun, verb, idiom)
lock	12	(noun, verb, idiom)
maximum	12	(noun, adjective)
novel	12	(noun, adjective)
option	12	(noun, verb)
pack	12	(noun, verb, adjective)
park	12	(noun, verb)
plenty	12	(noun, adjective, adverb)
quarter	12	(noun, verb, adjective)
skin	12	(noun, verb)
sort	12	(noun, verb)
weight	12	(noun, verb)
baby	11	(noun, verb, adjective)
background	11	(noun, adjective)
carry	11	(noun, verb)
dish	11	(noun, verb, idiom)
factor	11	(noun, verb)
fruit	11	(noun, verb)
glass	11	(noun, adjective, verb)
joint	11	(noun, adjective, verb)
master	11	(noun, adjective, verb)
muscle	11	(noun, verb, adjective)
red	11	(noun, adjective, idiom)
strength	11	(noun, idiom)
traffic	11	(noun, verb)
trip	11	(noun, verb, idiom)
vegetable	11	(noun, adjective)
appeal	10	(noun, verb)
chart	10	(noun, verb)
gear	10	(noun, verb, adjective)
ideal	10	(noun, adjective)
kitchen	10	(noun, adjective)
land	10	(noun, verb, idiom)
log	10	(noun, verb)
mother	10	(noun, adjective, verb)
net	10	(noun, verb)
party	10	(noun, adjective, verb)
principle	10	(noun, idiom)
relative	10	(noun, adjective)
sale	10	(noun, idiom)
season	10	(noun, verb, idiom)
signal	10	(noun, adjective, verb)
spirit	10	(noun, verb, idiom)
street	10	(noun, adjective, idiom)
tree	10	(noun, verb, idiom)
wave	10	(noun, verb, idiom)
belt	9	(noun, verb)
bench	9	(noun, verb)
commission	9	(noun, verb)
copy	9	(noun, verb, idiom)
drop	9	(noun, verb)
minimum	9	(noun, adjective)
path	9	(noun, idiom)
progress	9	(noun, verb, idiom)
project	9	(noun, verb)
sea	9	(noun, adjective, idiom)
south	9	(noun, adjective, adverb)
status	9	(noun, adjective)
stuff	9	(noun, verb)
ticket	9	(noun, verb, idiom)
tour	9	(noun, verb)
angle	8	(noun, verb)
blue	8	(noun, verb, adjective)
breakfast	8	(noun, verb)
confidence	8	(noun, idiom)
daughter	8	(noun, adjective)
degree	8	(noun, idiom)
doctor	8	(noun, verb)
dot	8	(noun, verb, idiom)
dream	8	(noun, verb, adjective)
duty	8	(noun, idiom)
essay	8	(noun, verb)
father	8	(noun, verb)
fee	8	(noun, verb)
finance	8	(noun, verb)
hour	8	(noun, adjective, idiom)
juice	8	(noun, verb, idiom)
limit	8	(noun, verb)
luck	8	(noun, verb, idiom)
milk	8	(noun, verb, idiom)
mouth	8	(noun, verb, idiom)
peace	8	(noun, interjection, verb)
pipe	8	(noun, verb)
seat	8	(noun, verb)
stable	8	(noun, verb)
storm	8	(noun, verb, idiom)
substance	8	(noun, idiom)
team	8	(noun, verb, adjective)
trick	8	(noun, adjective, verb)
afternoon	7	(noun, adjective)
bat	7	(noun, verb)
beach	7	(noun, verb)
blank	7	(noun, verb, adjective)
catch	7	(noun, verb)
chain	7	(noun, verb)
consideration	7	(noun, idiom)
cream	7	(noun, verb, adjective)
crew	7	(noun, verb)
detail	7	(noun, verb, idiom)
gold	7	(noun, adjective)
interview	7	(noun, verb)
kid	7	(noun, verb, adjective)
mark	7	(noun, verb, idiom)
match	7	(noun, verb)
mission	7	(noun, adjective)
pain	7	(noun, verb, idiom)
pleasure	7	(noun, verb)
score	7	(noun, verb, idiom)
screw	7	(noun, verb, idiom)
sex	7	(noun, verb, idiom)
shop	7	(noun, verb, interjection)
shower	7	(noun, verb, idiom)
suit	7	(noun, verb, idiom)
tone	7	(noun, verb)
window	7	(noun, verb)
agent	6	(noun, adjective, verb)
band	6	(noun, verb)
block	6	(noun, verb)
bone	6	(noun, verb, adverb)
calendar	6	(noun, verb)
cap	6	(noun, verb)
coat	6	(noun, verb)
contest	6	(noun, verb)
corner	6	(noun, adjective, verb)
court	6	(noun, verb, idiom)
cup	6	(noun, verb)
district	6	(noun, verb)
door	6	(noun, idiom)
east	6	(noun, adjective, adverb)
finger	6	(noun, verb, idiom)
garage	6	(noun, verb)
guarantee	6	(noun, verb)
hole	6	(noun, verb, idiom)
hook	6	(noun, verb, idiom)
implement	6	(noun, verb)
layer	6	(noun, verb)
lecture	6	(noun, verb)
lie	6	(noun, verb, idiom)
manner	6	(noun, idiom)
meeting	6	(noun, idiom)
nose	6	(noun, verb, idiom)
parking	6	(noun, adjective)
partner	6	(noun, verb)
profile	6	(noun, verb)
respect	6	(noun, verb)
rice	6	(noun, verb)
routine	6	(noun, adjective)
schedule	6	(noun, verb)
swimming	6	(noun, adjective)
telephone	6	(noun, verb)
tip	6	(noun, verb)
winter	6	(noun, adjective, verb)
airline	5	(noun, adjective)
bag	5	(noun, verb)
battle	5	(noun, verb)
bed	5	(noun, verb)
bill	5	(noun, verb)
bother	5	(noun, verb)
cake	5	(noun, verb)
code	5	(noun, verb)
curve	5	(noun, verb, idiom)
designer	5	(noun, adjective)
dimension	5	(noun, verb)
dress	5	(noun, adjective, verb)
ease	5	(noun, verb)
emergency	5	(noun, adjective)
evening	5	(noun, adjective)
extension	5	(noun, adjective)
farm	5	(noun, verb, idiom)
fight	5	(noun, verb)
gap	5	(noun, verb)
grade	5	(noun, verb)
holiday	5	(noun, adjective, verb)
horror	5	(noun, adjective)
horse	5	(noun, verb, adjective)
host	5	(noun, verb)
husband	5	(noun, verb)
loan	5	(noun, verb, idiom)
mistake	5	(noun, verb, idiom)
mountain	5	(noun, adjective, idiom)
nail	5	(noun, verb, idiom)
noise	5	(noun, verb)
occasion	5	(noun, verb, idiom)
package	5	(noun, verb)
patient	5	(noun, adjective)
pause	5	(noun, verb, idiom)
phrase	5	(noun, verb)
proof	5	(noun, adjective, verb)
race	5	(noun, verb)
relief	5	(noun, idiom)
sand	5	(noun, verb, idiom)
sentence	5	(noun, verb)
shoulder	5	(noun, verb, idiom)
smoke	5	(noun, verb, idiom)
stomach	5	(noun, verb)
string	5	(noun, verb, idiom)
tourist	5	(noun, adverb)
towel	5	(noun, verb)
vacation	5	(noun, verb)
west	5	(noun, adjective, adverb)
wheel	5	(noun, verb, idiom)
wine	5	(noun, adjective, verb)
arm	4	(noun, verb)
aside	4	(noun, adverb)
associate	4	(noun, verb, adjective)
bet	4	(noun, verb)
blow	4	(noun, verb)
border	4	(noun, verb)
branch	4	(noun, verb)
breast	4	(noun, verb)
brother	4	(noun, interjection)
buddy	4	(noun, verb)
bunch	4	(noun, verb)
chip	4	(noun, verb)
coach	4	(noun, verb, adverb)
cross	4	(noun, verb, adjective)
document	4	(noun, verb)
draft	4	(noun, verb, adjective)
dust	4	(noun, verb)
expert	4	(noun, adjective)
floor	4	(noun, verb)
god	4	(noun, interjection)
golf	4	(noun, verb)
habit	4	(noun, verb)
iron	4	(noun, verb)
judge	4	(noun, verb)
knife	4	(noun, verb)
landscape	4	(noun, verb)
league	4	(noun, verb)
mail	4	(noun, verb)
mess	4	(noun, verb)
native	4	(noun, adjective)
opening	4	(noun, adjective)
parent	4	(noun, verb)
pattern	4	(noun, verb)
pin	4	(noun, verb)
pool	4	(noun, verb)
pound	4	(noun, verb)
request	4	(noun, verb)
salary	4	(noun, verb)
shame	4	(noun, verb)
shelter	4	(noun, verb)
shoe	4	(noun, verb)
silver	4	(noun, adjective, verb)
tackle	4	(noun, verb)
tank	4	(noun, verb)
trust	4	(noun, verb)
assist	3	(noun, verb)
bake	3	(noun, verb)
bar	3	(noun, verb, preposition)
bell	3	(noun, verb)
bike	3	(noun, verb)
blame	3	(noun, verb)
boy	3	(noun, interjection)
brick	3	(noun, verb)
chair	3	(noun, verb)
closet	3	(noun, verb, adjective)
clue	3	(noun, verb)
collar	3	(noun, verb)
comment	3	(noun, verb)
conference	3	(noun, verb)
devil	3	(noun, verb)
diet	3	(noun, verb)
fear	3	(noun, verb)
fuel	3	(noun, verb)
glove	3	(noun, verb)
jacket	3	(noun, verb)
lunch	3	(noun, verb)
monitor	3	(noun, verb)
mortgage	3	(noun, verb)
nurse	3	(noun, verb)
pace	3	(noun, verb, preposition)
panic	3	(noun, verb)
peak	3	(noun, verb, adjective)
plane	3	(noun, adjective, verb)
reward	3	(noun, verb)
row	3	(noun, verb)
sandwich	3	(noun, verb)
shock	3	(noun, verb)
spite	3	(noun, verb)
spray	3	(noun, verb)
surprise	3	(noun, verb)
till	3	(noun, verb)
transition	3	(noun, verb)
weekend	3	(noun, verb)
welcome	3	(noun, interjection, verb)
yard	3	(noun, verb)
alarm	2	(noun, verb)
bend	2	(noun, verb)
bicycle	2	(noun, verb)
bite	2	(noun, verb)
blind	2	(noun, verb, adjective)
bottle	2	(noun, verb)
cable	2	(noun, verb)
candle	2	(noun, verb)
clerk	2	(noun, verb)
cloud	2	(noun, verb)
concert	2	(noun, verb)
counter	2	(noun, verb, adverb)
flower	2	(noun, verb)
grandfather	2	(noun, verb)
harm	2	(noun, verb)
knee	2	(noun, verb)
lawyer	2	(noun, verb)
leather	2	(noun, adjective, verb)
load	2	(noun, verb)
mirror	2	(noun, verb)
neck	2	(noun, verb)
pension	2	(noun, verb)
plate	2	(noun, verb)
purple	2	(noun, adjective, verb)
ruin	2	(noun, verb)
ship	2	(noun, verb)
skirt	2	(noun, verb)
slice	2	(noun, verb)
snow	2	(noun, verb)
specialist	2	(noun, adjective)
stroke	2	(noun, verb)
switch	2	(noun, verb)
trash	2	(noun, verb)
tune	2	(noun, verb)
zone	2	(noun, verb)
anger	1	(noun, verb)
award	1	(noun, verb)
bid	1	(noun, verb)
bitter	1	(noun, adjective)
boot	1	(noun, verb)
bug	1	(noun, verb)
camp	1	(noun, verb, adjective)
candy	1	(noun, verb)
carpet	1	(noun, verb)
cat	1	(noun, verb)
champion	1	(noun, verb)
channel	1	(noun, verb)
clock	1	(noun, verb)
comfort	1	(noun, verb)
cow	1	(noun, verb)
crack	1	(noun, verb, adjective)
engineer	1	(noun, verb)
entrance	1	(noun, verb)
fault	1	(noun, verb)
grass	1	(noun, verb)
guy	1	(noun, verb)
hell	1	(noun, interjection)
highlight	1	(noun, verb)
incident	1	(noun, adjective)
island	1	(noun, verb)
joke	1	(noun, verb)
jury	1	(noun, verb, adjective)
leg	1	(noun, verb)
lip	1	(noun, verb)
mate	1	(noun, verb)
motor	1	(noun, adjective, verb)
nerve	1	(noun, verb)
passage	1	(noun, verb)
pen	1	(noun, verb)
